job_id,skill
177, RDS
177, CloudFormation
177, CloudWatch
177, Docker
177, Linux
178,Go
178, Python
178, Docker
178, Kubernetes
178, SQL
178, NoSQL
179,Ruby on Rails
179, HTML
179, Javascript
179, CSS
179, TDD
179, CD / CI
180,Objective-C
180,  Cocoa Touch
180, Core Location
180, Core Motion
180, HealthKit
180, git
181,RESTful API
181, Python
181, GCP
181, AWS
181, Docker
181, Kubernetes
181, git
182,Python
182, Keras
182, TensorFlow
182, SciPy
182, Jupyter
182, Pandas
183,Python
184,bitcoin blockchain
184, ethereum
184, smart contracts
184, IOTA
184, Polkadot
184, Cosmos
184, Parity
184, IPFS
184, BigchainDB
185,Javascript
185, Node
186,SauceLabs
186, BrowserStack
186, VMs
186, UNIX
186, JavaScript
186, Python
186, Ruby
187,Magento
187, HTML5
187, CSS
187, Javascript
187, PHP
187, Grunt
187, Gulp
187, Webpack
187, Git
187, TDD
187, BDD
188,Unity
188, C++
188, JAVA
188, Objective-C
188, Swift
188, JavaScript
188, MVC
188, Entity Component Systems
188, StrangeIoC
188, Zenject
189,Selenium
189, Java
189, C++
189, JavaScript
189, Python
190,OOP PHP
190, MVC pattern
190, MySQL
190, REST
190, JavaScript
190, CSS3
190, HTML5
190, React
190, Redux
190, ES6
190, SASS
190, Webpack
190, Bower
190, XDebug
190, Symfony2/3
190, Zend
190, Jenkins
190, Jira
191,Javascript
191, HTML5
191, CSS3
191, Jenkins
191, Jira
191, Webpack
191, UI
192,Selenium
193,Java
193, React
193, JavaScript
193, CSS
193, Spring Boot
193, MVC frameworks
193, Hibernate
193, IntelliJ IDEA
193, Eclipse
193, GIT
193, SVN
194,Javascript
194, React
194, HTML5
194, CSS
194, SCSS
195,AngularJS
195, Javascript
195, CSS
195, REST
195, JSON
195, HTML5
195, UI/UX
195, Scrum
196,Docker
196, Git
196, Gerrit
196, Java
196, Groovy
196, Python
196, Perl
196, Ruby
197,SQL
197, Excel
197, SSIS
197, Tableau
198,Linux
198, Docker
198, Git
198, C
198, C++
198, Java
198, Groovy
198, Python
198, Go
198, Perl
198, Ruby
198, Hana
199,Linux
199, Docker
199, Python
199, Perl
199, Git
199, Gerrit
199, C/C++
199, Go 
200,Linux
200, Docker
200, Python
200, Perl
200, Git
200, Gerrit
200, C/C++
200, Go
201,Linux
201, Docker
201, Python
201, Git
201, Gerrit
201, C/C++
202,C++
202, Linux
202, Python
202, Git
202, Gerrit
203,C/C++
203, Perl
203, Python
203, Git
203, Gerrit
203, Docker
204,AWS Services
204, EC2
204, Memcache
204, Redis
204, Load Balancers
204, Docker
204, Vagrant
204, Chef
204, Elastic Search
204, NoSQL
204, Angular 1.4 / 2.0
204, React
204, PHP
205,C++
205, Linux
205, Python
205, Git
205, Gerrit
206,REST
206, GIT
206, Gradle/Maven
206, CI-System
206, Docker
206, Java
206, JUnit
206, JBehave
206, Selenium
206, TestNG
206, JMeter
206, LoadRunner
207,Node.js
207, PostgreSQL
207, Jenkins
207, Travis
207, Javascript
207, Bitcoin
207, Ethereum
208,Python GUI
209,Android SDK
209, ADT
209, Android Studio
209, RxJava
209, Kotlin
209, RESTful API
209, Ruby
209, Git
210,Ansible
210, Chef
210, SaltStack
210, Puppet
210, Zabbix
210, Logstash
210, Elastic Search
210, PostgreSQL
210, MySQL
210, MongoDB
210, Apache
210, Nginx
210, Jenkins
210,Travis
210, Bash
210, git
210, Node.js
210, Docker
211,NoSql
211, Elasticsearch
211, TDD
211, AngularJS
211, React
212,NodeJS
212, Restful APIs
212, NoSql
212, Docker
212, Jenkins
212, Gulp
212, Grunt
212, Elasticsearch
212, TDD
212, AngularJS
212, React
213,Swift
213, iOS SDK
213, Xcode
213, AppCode
213, Instruments
214,HTML5
214, LESS/SASS
214, React.js
214, Javascript
214, AngularJS
214, Node.js
214, REST API
214, Git
214, Jenkins
214, Webstorm
214, Webpack
215,HTML5
215, CSS3
215, Linux
215, git
215, CoffeeScript
215, Node.js
216,HTTP2
216, TCP/IP
216, CSS
216, HTML
216, Browser JS APIs
216, NPM
216, Yarn
216, Babel
216, Browserify
216, Webpack
216, Rollup
216, React
216, Angular
217,Travis
217, Jenkins
217, SQL
218,React native
218, REST APIs
219,Linux
219, nginx
219, apache
219, tomcat
219, redis
219, memcached
219, Jenkins
219, Puppet
219, Chef
219, MySql
219, Javascript
219, PHP
220,JavaScript
220, Node.js
220, Python
220, Redshift
220, Sequelize
220, SQL
220, Docker
220,  Git
220, JIRA
220, Teamcity
221,Java
221, Kubernetes
222,RESTful API’s
222, HTML5
222, CSS3
222, JavaScript
222, UNIX
223,REST API’s
223, Java
223, Unix
224,Scala
224, Java
224, Go
224, HL7
224, FHIR
224, IHE
224, DICOM
224, IEEE
224, ISO
224, CEN
224, EHR/EMR
224, RESTful
224, XML
224, XSLT
224, JSON
225,HTML5
225, CSS3
225, React
225, Redux
225, Webpack
225, Rails
225, Postgres
225, Elasticsearch
226,JavaScript
226, React
226, Git
226, Unix
226, REST-APIs
226, Ruby on Rails
226, Node.js
226, Jasmine
226, Karma
227,Ruby
227, Ruby on Rails
227, ElasticSearch
227, Redis
227, Docker
228,
229,PHP5+
229, PHP7
229, Git
229, Magento
229, MySQL
229, Redis
229, Nginx/Apache
229, Javascript
229, API
229, REST
229, SOAP
229, TDD/BDD
229, Jenkins
229, RabbitMQ
229, Kafka
229, ElasticSearch
229, Solr
229, NoSQL
229, Magento
229, Laravel
229, AWS
229, Docker
230,PostgreSQL
230, Spark
230, MySQL
230, Aerospike/Redis/Elasticsearch
230, Linux
230, AWS
231,Linux
231, Python
231, Ruby
231, Go
231, Jenkins
231, Teamcity
231, Openstack
231, Kubernetes
231, Chef
231, Puppet
232,Scrum
232, Kanban
232, Jira
233,PostgreSQL
233, Doctrine
233, Redis
233, RabbitMQ
233, Zend2
233, Symfony2
233, Laravel
233, git
233, composer
233, Vagrant
233, Jenkins
233, PHPStorm
233, XDebug
233, Scrum
233, Kanban
234,AWS
234, Cassandra/ElasticSearch
234, Haskell
234, Rust
234, Unix/Linux
235,
236,Scala
236, Java
236, Go
236, Finatra
236, Play
236, ES6
236, Docker
236, Kubernetes
236, Terraform
236, Ansible
236, Azure
236, PostgreSQL
236, SAP Hana
237,ES6
237, JQuery
237, AngularJS
237, Ember.js
237, D3.js
238,Scala
238, Java
238, Go
238, Finatra
238, Play
238, ES6
238, Docker
238, Kubernetes
238, Terraform
238, Ansible
238, Azure
238, PostgreSQL
238, SAP Hana
239,Bash
239, Python
239, Ruby
239, Docker
239, Kubernetes
239, Terraform
239, Ansible
239, AWS/Azure
240,Java
240, Swift
240, UI
240, MVP
241,HTML
241, CSS
241, JavaScript
241, React
241, Angular
241, Vue.js 
242,TDD
242, BDD
242, Selenium
242, PHP
242, Python
242, JavaScript
242, Magento
242, AWS
242, Codeception
242, Behat
242, git
243,Java
243, REST
243, JavaScript
243, ECMAScript2015
243, HTML5
243, CSS3
244,JavaScript
244, TypeScript
244, Flow
245,PHP
245, Go
245, Python
245, JavaScript
246,Scala
246, Linux
246, Docker
246, Mesos
246, Marathon
247,C/C++
247, Java
248,Ruby/RoR
248, React.js
248, TDD
248, CI
248, CD
248, TypeScript
248, Docker
248, RabbitMQ
249,SAN
249, NAS
249, Linux
249, Windows
249, MAC
249, Shell
249, Python
249, Powershell
250,Linux
250, Puppet
250, Chef
250, Apache/Nginx
250, HAProxy
250, AWS
250, Azure/GCP
250, Bash
250, PHP
250, Python
250, Ruby 
251,Python
251, AWS
251, Spark
251, Machine Learning
252,HTML
252, CSS
252, JavaScript
252, SQL
252, Linux
252, PHP7
252, Symfony2
252, AngularJS
252, jQuery
252, Behat (PHP)
252, Karma
252, Jasmine
252, NodeJS
252, Selenium
253,Linux
253, Docker
253, Kubernetes
253, Puppet
254,JavaScript (ES2015)
254, Meteor
254, MongoDB
255,Puppet
255, Chef
255, Apache/Nginx
255, HAProxy
255, AWS
255, Azure
255, GCP
255, Bash
255, PHP
255, Python
255, Ruby
256,CISSP certification
257,CDN
257, FTP
257, Scrum
257, Kanban
258,PHP
258, Python
258, Go
258, Node
258, AWS
258, Terraform
258, Ansible
258, MySQL
258, ElasticSearch
258, Redis
258, NoSQL
258, Packer
258, Docker
258, TDD
258, BDD
258, Jenkins
258, RabbitMQ
258, Kafka
258, ElasticSearch
258, Solr
259,Symfony2
259, PHP
259, MySQL
260,Scrum
260, Kanban
261,Linux
261, Docker
261, Kubernetes
261, Puppet
262,Play Framework
262, Akka HTTP
262, http4s
262, Spring Boot
262, SQL
262, NoSQL
262, Cassandra
262, CI/CD
262, Kafka
262, Spark
262, Google Protobuf
262, Message Queues
263,Spark
263, Hadoop
263, Kafka
263, Kinesis
263, AWS
263, S3
263, Spark
263, Scala
264,Python
264, Django
264, Pyramid
264, Flask
264, REST
264, GraphQL
264, SQL
264, NoSQL
264, Postgres
264, Cassandra
264, CI/CD
265,PostgreSQL
265, MySQL
265, Looker
265, Pentaho
265, Google Analytics
265, Excel
265, Spark
265, Hive
265, R
265, SAS
265, SPSS
265, Python
266,Appium
266, Calabash
267,Machine Learning
267, Scala
267, Pandas
267, R
267, Spark
268,
269,Lamp stack
270,Apache Spark
270, Scala
270, SQL
270, Google AdWords
270, Machine Learning
271,SQL
271, R
271, Python
271, SAS
271, SPSS
271, Spark
271, Hadoop
271, Scala
271, Java
271, Hive
271, Looker
272,MSSQL
272, MySQL
272, Transact SQL
272, PowerShell 
273,Ruby
273, Ruby on Rails
273, Scala
273, Java
273, Python
273, Lua
273, SQL
274,Scrum
274, Kanban
275,Unix
276,Javascript
276, Java
276, Ruby
276, Python
276, RESTful
276, XML
276, HTML
276, JSON
276, Testrail
276, JIRA
276, SQL
277,Javascript
277, React
277, Vue.js
277, AngularJS
277, CSS
277, Nodejs
278,
279,RSpec
279, Cucumber
279, git
279, Jenkins
279, GitLab CI
279, Kubernetes
279, Docker
279, Unix/Linux
280,Ruby
280, RabbitMQ
280, Elixir
280, HTML5
280, ES6
280, CSS3
280, REST
280, git
280, GitLab CI
280, Jenkins
280, Kubernetes
280, Docker
280, RSpec
280, Cucumber
280, SQL
280, NOSQL
280, PostgreSQL
280, MongoDB
280, Neo4j
280, InfluxDB/ Prometheus
281,Swift
